r,N,C,C_over_N,mean_SA,sd_SA_within,mean_LA,mean_MA,cross_sd
-1.500,24,13,0.5417,6.4695,0.4811,6.4410,6.3882,0.4403
-1.000,24,13,0.5417,17.0473,1.4106,17.0216,17.0823,1.2548
-0.500,24,13,0.5417,35.6897,4.5427,34.2849,35.2142,4.4755
0.000,24,13,0.5417,67.6598,12.9598,65.1000,66.1781,13.7130
0.500,24,13,0.5417,95.4254,21.0499,94.9584,96.5559,23.2127
1.000,24,13,0.5417,118.7059,27.0345,127.6511,124.5186,31.7864
1.500,24,13,0.5417,144.1791,34.8428,164.9636,157.1590,41.8310
-2.000,24,14,0.5833,-0.2759,0.1589,-0.2421,-0.2710,0.1132
-1.500,24,14,0.5833,6.4883,0.4924,6.5172,6.4680,0.4102
-1.000,24,14,0.5833,16.9681,1.4367,16.8673,16.9166,1.2347
-0.500,24,14,0.5833,35.7914,4.8029,35.1776,35.7549,4.5955
0.000,24,14,0.5833,68.7301,12.8012,66.1300,66.8160,13.2905
0.500,24,14,0.5833,100.3551,20.6652,98.1361,98.6254,22.1243
1.000,24,14,0.5833,124.8742,28.9450,131.1506,131.0289,32.1404
1.500,24,14,0.5833,151.6625,34.7977,166.2315,164.0093,40.8581
-2.000,24,15,0.6250,-0.3885,0.1583,-0.3264,-0.3604,0.1093
-1.500,24,15,0.6250,6.4799,0.5436,6.5837,6.4470,0.4391
-1.000,24,15,0.6250,17.1779,1.4350,17.1168,17.1490,1.1673
-0.500,24,15,0.6250,35.9953,4.5163,35.7698,36.4503,4.1212
0.000,24,15,0.6250,69.3504,12.2228,67.4785,68.4487,12.6008
0.500,24,15,0.6250,102.5158,21.4398,100.0806,102.1496,22.3173
1.000,24,15,0.6250,131.5137,28.6400,135.1324,135.5071,31.3635
1.500,24,15,0.6250,159.2170,36.5337,172.7318,172.3961,40.3644
-2.000,24,16,0.6667,-0.5140,0.1479,-0.4701,-0.5073,0.1058
-1.500,24,16,0.6667,6.1816,0.5227,6.2567,6.1713,0.3992
-1.000,24,16,0.6667,17.2420,1.4237,17.3218,17.1941,1.2133
-0.500,24,16,0.6667,35.9733,4.4050,35.6863,36.3901,4.1869
0.000,24,16,0.6667,71.0590,12.9789,68.1222,70.1308,12.8379
0.500,24,16,0.6667,106.0366,20.7511,101.5318,104.8630,22.2798
1.000,24,16,0.6667,135.6930,28.6316,137.1702,140.0916,30.8469
1.500,24,16,0.6667,166.5024,35.8635,173.9008,176.3432,39.4029
-2.000,24,17,0.7083,-0.6542,0.1388,-0.5982,-0.6416,0.1113
-1.500,24,17,0.7083,6.4597,0.5116,6.5569,6.4478,0.3814
-1.000,24,17,0.7083,17.0851,1.4590,17.1957,17.0639,1.2605
-0.500,24,17,0.7083,36.1604,4.7402,36.1595,36.8362,4.2549
0.000,24,17,0.7083,71.8798,11.8949,69.6482,71.7250,12.9594
0.500,24,17,0.7083,107.4113,20.1730,102.2863,106.6575,21.7813
1.000,24,17,0.7083,140.3729,26.3834,139.9396,143.2031,28.9460
1.500,24,17,0.7083,171.9171,36.2461,178.0987,183.3308,37.5530
-2.000,24,18,0.7500,-0.4325,0.1422,-0.3858,-0.4366,0.1068
-1.500,24,18,0.7500,6.6174,0.5512,6.7676,6.6086,0.4118
-1.000,24,18,0.7500,16.9839,1.4950,17.2389,17.0076,1.2563
-0.500,24,18,0.7500,35.7279,4.4295,35.8743,36.2939,3.9881
0.000,24,18,0.7500,72.2117,12.5893,69.2153,72.3372,12.4556
0.500,24,18,0.7500,108.5176,20.9168,103.8728,108.6508,21.2857
1.000,24,18,0.7500,145.2664,28.0614,141.6510,148.4529,28.7804
1.500,24,18,0.7500,178.5379,35.4835,183.0754,187.1825,36.1258
-2.000,24,19,0.7917,-0.2917,0.1601,-0.2322,-0.2977,0.1137
-1.500,24,19,0.7917,6.3662,0.5015,6.4714,6.3201,0.4054
-1.000,24,19,0.7917,16.8158,1.5195,17.0482,16.7877,1.2469
-0.500,24,19,0.7917,36.0831,4.8589,36.6380,37.0644,4.1081
0.000,24,19,0.7917,70.8222,12.9063,69.9221,72.5510,12.7316
0.500,24,19,0.7917,109.5874,19.9857,106.2454,112.3226,20.2988
1.000,24,19,0.7917,148.3248,28.0903,144.2070,152.9460,27.9317
1.500,24,19,0.7917,184.4635,34.9939,184.0416,193.1036,33.9661
-2.000,24,20,0.8333,-0.3777,0.1310,-0.3173,-0.3597,0.0966
-1.500,24,20,0.8333,6.6153,0.4735,6.7423,6.5543,0.3642
-1.000,24,20,0.8333,16.5848,1.4753,16.9633,16.6753,1.1900
-0.500,24,20,0.8333,36.5305,4.7709,37.2196,37.4844,4.0770
0.000,24,20,0.8333,72.7995,12.4419,72.1697,75.3514,11.9558
0.500,24,20,0.8333,110.7998,20.4439,107.2005,115.4701,20.4157
1.000,24,20,0.8333,151.4729,27.1982,146.2327,155.8421,26.4913
1.500,24,20,0.8333,188.7884,35.6928,188.2387,198.6422,32.8757
-2.000,24,21,0.8750,-0.1759,0.1658,-0.1121,-0.1723,0.1209
-1.500,24,21,0.8750,6.2725,0.4817,6.4114,6.2469,0.3611
-1.000,24,21,0.8750,17.2691,1.4121,17.5955,17.2435,1.1502
-0.500,24,21,0.8750,36.1632,4.7276,37.1917,37.5675,4.2097
0.000,24,21,0.8750,72.3613,12.5828,72.3355,76.4222,11.6607
0.500,24,21,0.8750,110.4441,20.8699,107.4054,115.9433,20.1485
1.000,24,21,0.8750,152.3180,27.4621,147.6851,158.9448,26.9789
1.500,24,21,0.8750,195.5772,35.2261,192.6641,203.5699,30.8332
-2.000,24,22,0.9167,-0.1040,0.1210,-0.0464,-0.1059,0.0846
-1.500,24,22,0.9167,6.3932,0.4489,6.5265,6.3333,0.3287
-1.000,24,22,0.9167,16.9506,1.4666,17.3071,16.9896,1.1683
-0.500,24,22,0.9167,36.3145,4.7102,37.6323,38.0735,4.1740
0.000,24,22,0.9167,72.5623,13.1231,73.5790,77.0201,12.2485
0.500,24,22,0.9167,110.7054,20.8341,108.9127,118.5262,19.9881
1.000,24,22,0.9167,153.6762,27.8077,150.7262,162.5009,25.6890
1.500,24,22,0.9167,199.1915,33.4607,195.0305,207.4777,29.8190
-2.000,24,23,0.9583,-0.5174,0.1369,-0.4586,-0.5241,0.0942
-1.500,24,23,0.9583,6.6934,0.5343,6.8564,6.6282,0.4101
-1.000,24,23,0.9583,17.2886,1.5816,17.7768,17.3785,1.2039
-0.500,24,23,0.9583,36.0562,4.9206,37.4388,37.5474,4.1368
0.000,24,23,0.9583,71.1685,12.4884,73.1210,77.7648,12.0172
0.500,24,23,0.9583,112.0472,20.1298,110.9672,121.3407,19.0547
1.000,24,23,0.9583,153.5910,29.4077,152.2918,165.5209,25.1782
1.500,24,23,0.9583,201.5732,32.9033,196.6815,212.0459,28.2753
